"Name","Version","Vendor"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664",
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36231","14.51.36231","Microsoft Corporation"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36231","14.51.36231","Microsoft Corporation"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36231","14.51.36231","Microsoft Corporation"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36231","14.51.36231","Microsoft Corporation"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60922",
"Microsoft Visual Studio Setup Configuration","3.12.2140.44225","Microsoft Corporation"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 3.0.3 (x64)","24.12.28517",
"Microsoft Windows Desktop Runtime - 3.1.32 (x64)","24.192.31915",
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","40.68.31219",
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186",
"Microsoft Windows Desktop Runtime - 6.0.36 (x86)","48.144.23186","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 7.0.20 (x64)","56.80.15245",
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","56.80.15245","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.19 (x64)","64.76.37602",
"Microsoft Windows Desktop Runtime - 8.0.23 (x64)","64.92.45458","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.24 (x64)","64.96.47265","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.25 (x86)","64.100.48707","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.26 (x64)","64.104.50433","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 8.0.27 (x64)","64.108.52193","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 9.0.12 (x64)","72.48.45460","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 9.0.13 (x64)","72.52.47159","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 9.0.14 (x64)","72.56.48819","Microsoft Corporation"
"Microsoft Windows Desktop Runtime - 9.0.15 (x64)","72.60.50530","Microsoft Corporation"
